Entity	Director	Year	Alias	URL
Aftermath	Władysław Pasikowski	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/aftermath.html
Album 61	Halil Efrat	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/album61.html
Altina	Peter Sanders	2012		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/Altina.html
The Apple	Menahem Golan	1980		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/theapple.html
Arabani	Adi Adwan	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/arabani.html
Audition	Udo Prinsen	2011		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/audition.html
Auschwitz On My Mind	Assaf Machnes	2012		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/auschwitzonmymind.html
Barea	Vincent Moloi	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/barea.html
Before The Revolution	Dan Shadur	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/beforetherevolution.html
Bethlehem	Yuval Adler	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/Bethlehem.html
Binding	Katarzyna Plazinska and Aaron Ellis	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/binding.html
Cohen On The Telephone	Robert Ross	1929		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/cohenonthetelephone.html
Cupcakes (closing Night)	Eytan Fox	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/cupcakes.html
Dancing In Jaffa	Hilla Medalia	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/dancinginjaffa.html
Dove's Cry	Ganit Ilouz	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/dovescry.html
Elevation	Ophir Ben-Shimon	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/elevation.html
Fading Gigolo (centerpiece Film)	John Turturro	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/fadinggigolo.html
For A Woman	Diane Kurys	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/forawoman.html
Friends From France	Anne Weil, Philippe Kotlarski	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/friendsfromfrance.html
The Garden Of Eden	Ran Tal	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/thegardenofeden.html
God Is Kidding	Boaz Balachsan	2012		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/godiskidding.html
Handa Handa 4	David Ofek and Neta Shoshani	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/handahanda4.html
Hannah Cohen's Holy Communion	Shimmy Marcus			http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/hannahcohensholycommunion.html
Hanna's Journey	Julia Von Heinz	2013		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/hannasjourney.html
How I Killed Rabin	Michael Alalu	2012		http://washingtondcjcc.org/center-for-arts/film/WJFF/24th-wjff/film-pages/howikilledrabin.html
