Entity,Year,Director,IMDB URL,Alias,genre,Runtime,url
The Perpetual Motion of My Love for You,2016,Karen Yasinsky,,,,8,http://aafilmfest.org/54/films/the_perpetual_motion_of_my_love_for_you/
The Place,2015,Julia Poplawska,,,,15,http://aafilmfest.org/54/films/the_place/
The Prison in Twelve Landscapes,2016,Brett Story,,,,87,http://aafilmfest.org/54/films/the_prison_in_twelve_landscapes_1/
The Resonance,2013,Mateusz Sadowski,,Rezonans,,6,http://aafilmfest.org/54/films/the_resonance_rezonans/
The Twist,2015,Amelia Giller,,,,2,http://aafilmfest.org/54/films/the_twist/
There is a Happy Land Further Awaay,2016,Ben Rivers,,,,20,http://aafilmfest.org/54/films/there_is_a_happy_land_further_awaay/
Thoth in the Kaleidoscope UFO,2016,Tom Carey,,,,9,http://aafilmfest.org/54/films/thoth_in_the_kaleidoscope_ufo/
"Toledo, My Father",2015,Carson Parish,,,,8,http://aafilmfest.org/54/films/toledo_my_father/
Toré,2015,João Vieira torres,,,,15,http://aafilmfest.org/54/films/tore/
Traces/Legacy,2015,Scott Stark,,,,9,http://aafilmfest.org/54/films/traces_legacy/
Tracheal Shave,2016,Gina Kamentsky,,,Animation,2,http://aafilmfest.org/54/films/tracheal_shave/
Coma Software,2015,Ben Rinehardt,,,Animation,3,http://aafilmfest.org/54/films/coma_software/
True Blue And Dreamy,1973,Curt McDowell,tt0207168,,,13,http://aafilmfest.org/54/films/true_blue_and_dreamy/
Two Clothespins In An Envelope,2015,Susanna Wallin,,,,14,http://aafilmfest.org/54/films/two_clothespins_in_an_envelope/
Vague Images at the Beginning and End of the Day,2015,Carl Elsaesser,,,,8,http://aafilmfest.org/54/films/vague_images_at_the_beginning_and_end_of_the_day/
Vapour,2015,Apichatpong Weerasethakul,,,,21,http://aafilmfest.org/54/films/vapour/
Live to Live,2015,,,Vivir Para Vivir,,11,http://aafilmfest.org/54/films/vivir_para_vivir_live_to_live/
We Can't Live Without Cosmos,2014,Konstantin Bronzit,tt3965660,Mi ne mozhem zhit bez cosmosa,,15,http://aafilmfest.org/54/films/we_cant_live_without_cosmos_mi_ne_mozhem_zhit_bez_cosmosa/
We chose the Milky Way,2015,Eva Marie Rødbro,,,,28,http://aafilmfest.org/54/films/we_chose_the_milky_way/
Who painted the sky with wispy clouds?,2014,Miranda Dershimer,,,,9,http://aafilmfest.org/54/films/who_painted_the_sky_with_wispy_clouds/
Wieners And Buns Musical,1972,Curt McDowell,,,,13,http://aafilmfest.org/54/films/wieners_and_buns_musical/
Xilitla.,2010,"Melanie Smith, Rafael Ortega",,,,12,http://aafilmfest.org/54/films/xilitla/
"letters, notes",2000,Stephanie Barber,,,,4,http://aafilmfest.org/54/films/letters_notes/
not even nothing can be free of ghosts,2016,Rainer Kohlberger,tt5466860,,Experimental  Film,11,http://aafilmfest.org/54/films/not_even_nothing_can_be_free_of_ghosts/
Okay Bye-Bye,1998,Rebecca Baron,tt0194207,,,38,http://aafilmfest.org/54/films/okay_bye_bye/
Time / Out of Joint,2015,Caspar Stracke,,,,75,http://aafilmfest.org/54/films/time_out_of_joint_1/
6500,2015,,,,,9,http://aafilmfest.org/54/films/sixty-five-hundres/
Baba Dana Talks To The Wolves,2015,Ralitsa Doncheva,,,,11,http://aafilmfest.org/54/films/baba_dana_talks_to_the_wolves/
