Entity,url,Director,Year,Alias,IMDB_OLD,IMDB URL,genre,Runtime
Packed In A Trunk: The Lost Art Of Edith Lake Wilkinson,http://slgff.strangertickets.com/films/28226606/packed-in-a-trunk-the-lost-art-of-edith-lake-wilkinson,Michelle Boyaner,2015,,tt4093410,www.imdb.com/title/tt4093410,,
Addicted To Fresno,http://slgff.strangertickets.com/films/28226514/addicted-to-fresno,Jamie Babbit,2015,,tt4000870,www.imdb.com/title/tt4000870,,
My Life Is A Dream,http://slgff.strangertickets.com/films/28226801/my-life-is-a-dream,Brian Benson,2015,,tt4460116,www.imdb.com/title/tt4460116,,
Everlasting Love,http://slgff.strangertickets.com/films/28226562/everlasting-love,Marçal Forés,2014,,tt4077768,www.imdb.com/title/tt4077768,,
11 Life Lessons From An Awesome Old Dyke,http://slgff.strangertickets.com/films/28226650/11-life-lessons-from-an-awesome-old-dyke,Allison Khoury,2015,,tt4458970,www.imdb.com/title/tt4458970,,
Liz In September,http://slgff.strangertickets.com/films/28226589/liz-in-september,Fina Torres,2014,,tt2325833,www.imdb.com/title/tt2325833,,
When Mom Visits,http://slgff.strangertickets.com/films/28226855/when-mom-visits,Chiung-wen Chang,2015,,tt3551876,www.imdb.com/title/tt3551876,,
"Margarita, With A Straw",http://slgff.strangertickets.com/films/28226577/margarita-with-a-straw,Shonali Bose,2014,,tt2929690,www.imdb.com/title/tt2929690,,
Chance,http://slgff.strangertickets.com/films/28226703/chance,Jake Graf,2015,,tt4070722,,,
Beat,http://slgff.strangertickets.com/films/28226660/beat,Tricia Hagoriles,2015,,tt3714864,,,
Sebastian,http://slgff.strangertickets.com/films/28226563/sebastian,Carlos Ciurlizza,2014,,tt3515652,www.imdb.com/title/tt3515652,,
L'assassins,http://slgff.strangertickets.com/films/28226789/lassassins,Tyler Jensen,2015,,tt4496978,www.imdb.com/title/tt4496978,,
The Celluloid Closet,http://slgff.strangertickets.com/films/28226529/celluloid-closet-the,"Robert Epstein, Jeffrey Friedman",1995,,tt0112651,,,
Peter De Rome: Grandfather Of Gay Porn,http://slgff.strangertickets.com/films/28226609/peter-de-rome-grandfather-of-gay-porn,Ethan Reid,2014,,tt3801878,www.imdb.com/title/tt3801878,,
Supermum,http://slgff.strangertickets.com/films/28226841/supermum,Lisa Gifford,2015,,tt4711700,www.imdb.com/title/tt4711700,,
Elder,http://slgff.strangertickets.com/films/28226699/elder,Genéa Gaudet,2015,,tt2786526,www.imdb.com/title/tt2786526,,
The Pearl Of Africa,http://slgff.strangertickets.com/films/28226823/pearl-of-africa-the,Jonny von Wallström,2015,,tt5128790,www.imdb.com/title/tt5128790,,
Fragments Of Ava,http://slgff.strangertickets.com/films/28226761/fragments-of-ava,Zara Zandieh,2012,,tt5219698,www.imdb.com/title/tt5219698,,
My Life In Dance,http://slgff.strangertickets.com/films/28226796/my-life-in-dance,Amir Jaffer,2015,,tt4911274,www.imdb.com/title/tt4911274,,
Mctucky Fried High,http://slgff.strangertickets.com/films/28226781/mctucky-fried-high,Robert Carnilius,2015,,tt4328490,www.imdb.com/title/tt4328490,,
Hustler White,http://slgff.strangertickets.com/films/28226600/hustler-white,"Bruce LaBruce, Rick Castro",1996,,tt0116587,,,
Out To Win,http://slgff.strangertickets.com/films/28226567/out-to-win,Malcolm Ingram,2015,,tt3710096,www.imdb.com/title/tt3710096,,
Paper Thin,http://slgff.strangertickets.com/films/28226818/paper-thin,Nataly Lebouleux,2014,,tt4254688,www.imdb.com/title/tt4254688,,
Camouflage,http://slgff.strangertickets.com/films/28226717/camouflage,"Stephan Kämpf, Andreas Kessler",2014,,tt3588216,,,
Middle Man,http://slgff.strangertickets.com/films/28226773/middle-man,Charlie Francis,2014,,tt3550298,www.imdb.com/title/tt3550298,,
Myrna The Monster,http://slgff.strangertickets.com/films/28226821/myrna-the-monster,Ian Samuels,2015,,tt4180724,www.imdb.com/title/tt4180724,,
Been Too Long At The Fair,http://slgff.strangertickets.com/films/28226665/been-too-long-at-the-fair,"Charles Lum, Todd Verow",2015,,tt4374426,www.imdb.com/title/tt4374426,,
Golden,http://slgff.strangertickets.com/films/28226723/golden,Kai Stänicke,2015,,,,,
The Letter,http://slgff.strangertickets.com/films/28226776/letter-the,Ángeles Cruz,2014,,,,,
