Entity,Director,ed,Url,IMDB,Alias,genre,Runtime,Year
Golden,Kai Stänicke,Golden Kai Stänicke,http://slgff.strangertickets.com/films/28226723/golden,,,,3,2015
The Letter,Ángeles Cruz,The Letter Ángeles Cruz,http://slgff.strangertickets.com/films/28226776/letter-the,,,,18,2014
Criminal Queers,"Eric Stanley, Chris Vargas","Criminal Queers Eric Stanley, Chris Vargas",http://slgff.strangertickets.com/films/28226687/criminal-queers,,,,63,2015
The Year We Thought About Love,Ellen Brodsky,The Year We Thought About Love Ellen Brodsky,http://slgff.strangertickets.com/films/28226659/year-we-thought-about-love-the,,,,69,2014
Capitol Hill 2,Wes Hurley,Capitol Hill 2 Wes Hurley,http://slgff.strangertickets.com/films/28226546/capitol-hill-2,tt5349160,,,95,2015
Packed In A Trunk: The Lost Art Of Edith Lake Wilkinson,Michelle Boyaner,Packed In A Trunk: The Lost Art Of Edith Lake Wilkinson Michelle Boyaner,http://slgff.strangertickets.com/films/28226606/packed-in-a-trunk-the-lost-art-of-edith-lake-wilkinson,tt4093410,,,78,2015
To Be Destroyed,Ahmed Ateyya,To Be Destroyed Ahmed Ateyya,http://slgff.strangertickets.com/films/28226834/to-be-destroyed,tt3959544,,,20,2014
Addicted To Fresno,Jamie Babbit,Addicted To Fresno Jamie Babbit,http://slgff.strangertickets.com/films/28226514/addicted-to-fresno,tt4000870,,,85,2015
My Life Is A Dream,Brian Benson,My Life Is A Dream Brian Benson,http://slgff.strangertickets.com/films/28226801/my-life-is-a-dream,tt4460116,,,8,2015
Hermes & Aphrodite,Gregor Zootzky,Hermes & Aphrodite Gregor Zootzky,http://slgff.strangertickets.com/films/28226747/hermes-aphrodite,,,,10,2013
Everlasting Love,Marçal Forés,Everlasting Love Marçal Forés,http://slgff.strangertickets.com/films/28226562/everlasting-love,tt4077768,,,69,2014
11 Life Lessons From An Awesome Old Dyke,Allison Khoury,11 Life Lessons From An Awesome Old Dyke Allison Khoury,http://slgff.strangertickets.com/films/28226650/11-life-lessons-from-an-awesome-old-dyke,tt4458970,,,9,2015
