Entity,Director,url,Year,Alias,IMDB,IMDB URL,genre,Runtime
Golden,Kai Stänicke,http://slgff.strangertickets.com/films/28226723/golden,2015,,,,,3
The Letter,Ángeles Cruz,http://slgff.strangertickets.com/films/28226776/letter-the,2014,,,,,18
Criminal Queers,"Eric Stanley, Chris Vargas",http://slgff.strangertickets.com/films/28226687/criminal-queers,2015,,,,,63
The Year We Thought About Love,Ellen Brodsky,http://slgff.strangertickets.com/films/28226659/year-we-thought-about-love-the,2014,,,http://www.imdb.com/title/tt4065250/,,69
Capitol Hill 2,Wes Hurley,http://slgff.strangertickets.com/films/28226546/capitol-hill-2,2015,,tt5349160,http://www.imdb.com/title/tt5349160/,,95
Packed In A Trunk: The Lost Art Of Edith Lake Wilkinson,Michelle Boyaner,http://slgff.strangertickets.com/films/28226606/packed-in-a-trunk-the-lost-art-of-edith-lake-wilkinson,2015,,tt4093410,,,78
To Be Destroyed,Ahmed Ateyya,http://slgff.strangertickets.com/films/28226834/to-be-destroyed,2014,,tt3959544,http://www.imdb.com/title/tt3959544/,,20
Addicted To Fresno,Jamie Babbit,http://slgff.strangertickets.com/films/28226514/addicted-to-fresno,2015,,tt4000870,,,85
My Life Is A Dream,Brian Benson,http://slgff.strangertickets.com/films/28226801/my-life-is-a-dream,2015,,tt4460116,,,8
Hermes & Aphrodite,Gregor Zootzky,http://slgff.strangertickets.com/films/28226747/hermes-aphrodite,2013,,,http://www.imdb.com/title/tt3527396/,,10
Everlasting Love,Marçal Forés,http://slgff.strangertickets.com/films/28226562/everlasting-love,2014,,tt4077768,,,69
11 Life Lessons From An Awesome Old Dyke,Allison Khoury,http://slgff.strangertickets.com/films/28226650/11-life-lessons-from-an-awesome-old-dyke,2015,,tt4458970,,,9
"My Daughter, Never More",Cassandra Troyan,http://slgff.strangertickets.com/films/28226795/my-daughter-never-more,2015,,,,,9
"Porn Again, Vol. 1: Mutation Of A Transsexual",Sofia Moreno,https://slgff.strangertickets.com/films/28226839/porn-again-vol-1-mutation-of-a-transsexual,2012,,,,,7
Pipe Dream,Yudho Aditya,http://slgff.strangertickets.com/films/28226825/pipe-dream,2015,,tt3756812,http://www.imdb.com/title/tt3756812/,,15
