Entity,url,Director,Year,Alias,IMDB_OLD,IMDB URL,genre,Runtime
packed in a trunk: the lost art of edith lake wilkinson,http://slgff.strangertickets.com/films/28226606/packed-in-a-trunk-the-lost-art-of-edith-lake-wilkinson,Michelle Boyaner,2015,,tt4093410,http://www.imdb.com/title/tt4093410/,,78
addicted to fresno,http://slgff.strangertickets.com/films/28226514/addicted-to-fresno,Jamie Babbit,2015,,tt4000870,http://www.imdb.com/title/tt4000870/,,85
my life is a dream,http://slgff.strangertickets.com/films/28226801/my-life-is-a-dream,Brian Benson,2015,,tt4460116,http://www.imdb.com/title/tt4460116/,,8
everlasting love,http://slgff.strangertickets.com/films/28226562/everlasting-love,Marçal Forés,2014,,tt4077768,,,69
11 life lessons from an awesome old dyke,http://slgff.strangertickets.com/films/28226650/11-life-lessons-from-an-awesome-old-dyke,Allison Khoury,2015,,tt4458970,http://www.imdb.com/title/tt4458970/,,9
liz in september,http://slgff.strangertickets.com/films/28226589/liz-in-september,Fina Torres,2014,,tt2325833,http://www.imdb.com/title/tt2325833/,,100
when mom visits,http://slgff.strangertickets.com/films/28226855/when-mom-visits,Chiung-wen Chang,2015,,tt3551876,http://www.imdb.com/title/tt3551876/,,19
"margarita, with a straw",http://slgff.strangertickets.com/films/28226577/margarita-with-a-straw,Shonali Bose,2014,,tt2929690,http://www.imdb.com/title/tt2929690/,,100
chance,http://slgff.strangertickets.com/films/28226703/chance,Jake Graf,2015,,tt4070722,,,16
beat,http://slgff.strangertickets.com/films/28226660/beat,Tricia Hagoriles,2015,,tt3714864,,,15
sebastian,http://slgff.strangertickets.com/films/28226563/sebastian,Carlos Ciurlizza,2014,,tt3515652,,,108
l'assassins,http://slgff.strangertickets.com/films/28226789/lassassins,Tyler Jensen,2015,,tt4496978,http://www.imdb.com/title/tt4496978/,,13
the celluloid closet,http://slgff.strangertickets.com/films/28226529/celluloid-closet-the,"Robert Epstein, Jeffrey Friedman",1995,,tt0112651,,,101
peter de rome: grandfather of gay porn,http://slgff.strangertickets.com/films/28226609/peter-de-rome-grandfather-of-gay-porn,Ethan Reid,2014,,tt3801878,http://www.imdb.com/title/tt3801878/,,97
supermum,http://slgff.strangertickets.com/films/28226841/supermum,Lisa Gifford,2015,,tt4711700,http://www.imdb.com/title/tt4711700/,,3
elder,http://slgff.strangertickets.com/films/28226699/elder,Genéa Gaudet,2015,,tt2786526,,,15
the pearl of africa,http://slgff.strangertickets.com/films/28226823/pearl-of-africa-the,Jonny von Wallström,2015,,tt5128790,,,30
fragments of ava,http://slgff.strangertickets.com/films/28226761/fragments-of-ava,Zara Zandieh,2012,,tt5219698,http://www.imdb.com/title/tt5219698/,,13
my life in dance,http://slgff.strangertickets.com/films/28226796/my-life-in-dance,Amir Jaffer,2015,,tt4911274,http://www.imdb.com/title/tt4911274/,,13
mctucky fried high,http://slgff.strangertickets.com/films/28226781/mctucky-fried-high,Robert Carnilius,2015,,tt4328490,http://www.imdb.com/title/tt4328490/,,5
hustler white,http://slgff.strangertickets.com/films/28226600/hustler-white,"Bruce LaBruce, Rick Castro",1996,,tt0116587,,,80
out to win,http://slgff.strangertickets.com/films/28226567/out-to-win,Malcolm Ingram,2015,,tt3710096,http://www.imdb.com/title/tt3710096/,,99
paper thin,http://slgff.strangertickets.com/films/28226818/paper-thin,Nataly Lebouleux,2014,,tt4254688,,,20
camouflage,http://slgff.strangertickets.com/films/28226717/camouflage,"Stephan Kämpf, Andreas Kessler",2014,,tt3588216,,,8
middle man,http://slgff.strangertickets.com/films/28226773/middle-man,Charlie Francis,2014,,tt3550298,http://www.imdb.com/title/tt3550298/,,5
myrna the monster,http://slgff.strangertickets.com/films/28226821/myrna-the-monster,Ian Samuels,2015,,tt4180724,http://www.imdb.com/title/tt4180724/,,15
been too long at the fair,http://slgff.strangertickets.com/films/28226665/been-too-long-at-the-fair,"Charles Lum, Todd Verow",2015,,tt4374426,http://www.imdb.com/title/tt4374426/,,7
