Entity,url,Director,Alias,Year,IMDB URL,genre,Runtime
Auditioning for Nathaniel,http://aafilmfest.org/54/films/auditioning_for_nathaniel/,Kevin Jerome Everson,,2016,,,14
Australian Paper,http://aafilmfest.org/54/films/australian_paper/,Minjung Kim,,2015,,,2
BLOPS,http://aafilmfest.org/54/films/blops/,John Klacsmann,,2014,,Animation,3
Back Track,http://aafilmfest.org/54/films/back_track/,Virgil Widrich,,2015,tt4581772,,7
Beaver Fever,http://aafilmfest.org/54/films/beaver_fever/,Curt McDowell,,1974,tt0377474,,20
Bending to Earth,http://aafilmfest.org/54/films/bending_to_earth/,Rosa Barba,,2015,tt5259732,,15
Bisonhead,http://aafilmfest.org/54/films/bisonhead/,Elizabeth Lo,,2015,tt5084168,,10
Blue and Red,http://aafilmfest.org/54/films/blue_and_red/,Zhou Tao,,2014,,,25
Bottom Feeders,http://aafilmfest.org/54/films/bottom_feeders/,Matt Reynolds,,2015,tt4593096,Animation,3
Catfilm for Katy and Cynnie,http://aafilmfest.org/54/films/catfilm_for_katy_and_cynnie/,Standish Lawder,,1973,,,3
Cathode Garden,http://aafilmfest.org/54/films/cathode_garden/,Janie Geiser,,2015,,,8
Coming Cold,http://aafilmfest.org/54/films/coming_cold/,Robert Todd,,2015,,,8
Confessions,http://aafilmfest.org/54/films/confessions_1/,Curt McDowell,,1977,tt0128138,,11
Counting,http://aafilmfest.org/54/films/counting_1/,Jem Cohen,,2015,tt4462082,,111
From The East,http://aafilmfest.org/54/films/dest_from_the_east/,Chantal Ackerman,D'est,1993,tt0106642,,110
Dead Slow Ahead,http://aafilmfest.org/54/films/dead_slow_ahead_1/,Mauro Herce,,2015,tt4881208,,71
December,http://aafilmfest.org/54/films/december/,Nathaniel Dorsky,,2014,,,15
Decodings,http://aafilmfest.org/54/films/decodings/,Michael Wallin,,1988,tt0136776,,15
Detour de Force,http://aafilmfest.org/54/films/detour_de_force_1/,Rebecca Baron,,2014,tt3997338,,29
Dingbat's Revenge,http://aafilmfest.org/54/films/dingbats_revenge/,Scott Fitzpatrick,,2015,,,7
Discontinuity,http://aafilmfest.org/54/films/discontinuity/,Lori Felker,,2016,tt5076222,,16
Do the Dishes,http://aafilmfest.org/54/films/do_the_dishes/,Julia Dratel,,2015,,,4
