Entity,url,Director,Alias,Year,IMDB URL,genre,Runtime
26 Pulse Wrought,http://aafilmfest.org/54/films/26_pulse_wrought/,Andrew Busti,,2014,,,3
(I) Frame,http://aafilmfest.org/54/films/i_frame/,"Andrew Kim, Karissa Hahn",,2016,,,10
78 Letters,http://aafilmfest.org/54/films/78_letters/,Grahame Weinbren,,2015,,,35
A & B In Ontario,http://aafilmfest.org/54/films/a_b_in_ontario/,Joyce Wieland,,1984,,,16
A Mystery Inside of a Fact,http://aafilmfest.org/54/films/a_mystery_inside_of_a_fact/,Jonathan Schwartz,,2016,,,16
"A Partial History of the Natural World, 1965",http://aafilmfest.org/54/films/a_partial_history_of_the_natural_world_1965/,Sasha Waters Freyer,,2015,tt4194352,,7
A Visit to Indiana,http://aafilmfest.org/54/films/a_visit_to_indiana/,Curt McDowell,,1970,tt0128827,,10
An Ecstatic Experience,http://aafilmfest.org/54/films/an_ecstatic_experience/,Ja'Tovia Gary,,2015,,,6
Anal Masturbation and Object Loss,http://aafilmfest.org/54/films/anal_masturbation_and_object_loss/,Steve Reinke,,2002,tt0388722,,6
Analysis of Emotions and Vexations,http://aafilmfest.org/54/films/analysis_of_emotions_and_vexations/,Wojciech Bąkowski,,2015,,,14
Auditioning for Nathaniel,http://aafilmfest.org/54/films/auditioning_for_nathaniel/,Kevin Jerome Everson,,2016,,,14
Australian Paper,http://aafilmfest.org/54/films/australian_paper/,Minjung Kim,,2015,,,2
BLOPS,http://aafilmfest.org/54/films/blops/,John Klacsmann,,2014,,Animation,3
Back Track,http://aafilmfest.org/54/films/back_track/,Virgil Widrich,,2015,tt4581772,,7
Beaver Fever,http://aafilmfest.org/54/films/beaver_fever/,Curt McDowell,,1974,tt0377474,,20
Bending to Earth,http://aafilmfest.org/54/films/bending_to_earth/,Rosa Barba,,2015,tt5259732,,15
Bisonhead,http://aafilmfest.org/54/films/bisonhead/,Elizabeth Lo,,2015,tt5084168,,10
Blue and Red,http://aafilmfest.org/54/films/blue_and_red/,Zhou Tao,,2014,,,25
Bottom Feeders,http://aafilmfest.org/54/films/bottom_feeders/,Matt Reynolds,,2015,tt4593096,Animation,3
Catfilm for Katy and Cynnie,http://aafilmfest.org/54/films/catfilm_for_katy_and_cynnie/,Standish Lawder,,1973,,,3
Cathode Garden,http://aafilmfest.org/54/films/cathode_garden/,Janie Geiser,,2015,,,8
Coming Cold,http://aafilmfest.org/54/films/coming_cold/,Robert Todd,,2015,,,8
Confessions,http://aafilmfest.org/54/films/confessions_1/,Curt McDowell,,1977,tt0128138,,11
Counting,http://aafilmfest.org/54/films/counting_1/,Jem Cohen,,2015,tt4462082,,111
From The East,http://aafilmfest.org/54/films/dest_from_the_east/,Chantal Ackerman,D'est,1993,tt0106642,,110
Dead Slow Ahead,http://aafilmfest.org/54/films/dead_slow_ahead_1/,Mauro Herce,,2015,tt4881208,,71
December,http://aafilmfest.org/54/films/december/,Nathaniel Dorsky,,2014,,,15
Decodings,http://aafilmfest.org/54/films/decodings/,Michael Wallin,,1988,tt0136776,,15
Detour de Force,http://aafilmfest.org/54/films/detour_de_force_1/,Rebecca Baron,,2014,tt3997338,,29
Dingbat's Revenge,http://aafilmfest.org/54/films/dingbats_revenge/,Scott Fitzpatrick,,2015,,,7
Discontinuity,http://aafilmfest.org/54/films/discontinuity/,Lori Felker,,2016,tt5076222,,16
Do the Dishes,http://aafilmfest.org/54/films/do_the_dishes/,Julia Dratel,,2015,,,4
Down Hear,http://aafilmfest.org/54/films/down_hear/,Mike Henderson,,1972,,,12
Drive In,http://aafilmfest.org/54/films/drive_in/,"Joel Rakowski, Terri Sarris",,2015,,,2
Däwit,http://aafilmfest.org/54/films/daewit_daewit/,David Jansen,Daewit,2015,tt4190544,Animation,15
"Ears, Nose & Throat",http://aafilmfest.org/54/films/ears_nose_throat/,Kevin Jerome Everson,,2016,,,10
Edmond,http://aafilmfest.org/54/films/edmond/,Nina Gantz,,2015,,,9
Engram of Returning,http://aafilmfest.org/54/films/engram_of_returning/,Daïchi Saïto,,2015,,,19
Event Horizon,http://aafilmfest.org/54/films/event_horizon_lhorizon_des_evenements/,Guillermo Moncayo,L'horizon des évènements,2015,tt5259786,,16
Expression of the Sightless,http://aafilmfest.org/54/films/expression_of_the_sightless/,Jessica Sarah Rinland,,2016,,,7
False Start,http://aafilmfest.org/54/films/faux_depart_false_start/,Yto Barrada,Faux Départ,2015,tt5068112,,23
First Rodeo,http://aafilmfest.org/54/films/first_rodeo/,Vera Brunner-Sung,,2015,,,3
Fish Point,http://aafilmfest.org/54/films/fish_point/,Pablo Mazzolo,,2015,,,7
Fragment 53,http://aafilmfest.org/54/films/fragment_53_1/,"Carlo Gabriele Tribbioli, Federico Lodoli",,2015,,,71
"Fugue for Cello, Trumpet and Landscape",http://aafilmfest.org/54/films/fugue_for_cello_trumpet_and_landscape/,Jerzy Kucia,,2014,,,18
Fundir,http://aafilmfest.org/54/films/fundir/,Allison Cekala,,2015,,,23
Gasometers 3,http://aafilmfest.org/54/films/gasometers_3/,Nicky Hamlyn,,2015,,,14
Gazelles In Flight,http://aafilmfest.org/54/films/gazelles_in_flight/,Charles-André Coderre,,2015,,,5
"Goodbye Rabbit, Hop Hop",http://aafilmfest.org/54/films/goodbye_rabbit_hop_hop/,Caleb Wood,,2013,,,4
Gravity Hill Newsreels,http://aafilmfest.org/54/films/gravity_hill_newsreels_occupy_wall_st/,Jem Cohen,,2011,,,22
Halimuhfack,http://aafilmfest.org/54/films/halimuhfack/,Christopher Harris,,2016,,,4
Hand Movie,http://aafilmfest.org/54/films/hand_movie/,Yvonne Rainer,,1966,,,7
Hard as Opal,http://aafilmfest.org/54/films/hard_as_opal/,,,2015,,,29
He Who Eats Children,http://aafilmfest.org/54/films/he_who_eats_children/,Ben Russell,,2016,,,24
Heck.exe,http://aafilmfest.org/54/films/heckexe/,"Andy Heck Boyd, Charles Toeppe",,,,,6
Heila Ormur,http://aafilmfest.org/54/films/heila_ormur/,Rose Stark,,2014,,Animation,4
Helianthus Corner Blues,http://aafilmfest.org/54/films/helianthus_corner_blues/,Jem Cohen,,2013,,,3
Here There,http://aafilmfest.org/54/films/here_there/,Alexander Stewart,,2015,,,5
Hotel 22,http://aafilmfest.org/54/films/hotel_22/,Elizabeth Lo,,2015,,,9
House Fire,http://aafilmfest.org/54/films/house_fire/,Micah Weber,,2014,,,5
House and Universe,http://aafilmfest.org/54/films/house_and_universe/,Antoinette Zwirchmayr,,2015,,,4
How to Rust,http://aafilmfest.org/54/films/how_to_rust/,Julia Yezbick,,2016,,,25
I Remember Nothing,http://aafilmfest.org/54/films/i_remember_nothing/,Zia Anger,,2015,,,18
Impresiones para una máquina de luz y sonido.,http://aafilmfest.org/54/films/impresiones_para_una_maquina_de_luz_y_sonido/,Los ingrávidos,,2015,,,7
In the Canyon,http://aafilmfest.org/54/films/in_the_canyon/,Sami Chan,,2015,,,7
Iron Condor,http://aafilmfest.org/54/films/iron_condor/,Meredith Lackey,,2015,,,10
Irradiant Field,http://aafilmfest.org/54/films/irradient_field/,Laura Kraning,,2016,,,10
