Entity,Url,IMDB,Director,Alias,genre,Runtime,Year
Golden,http://slgff.strangertickets.com/films/28226723/golden,,Kai Stänicke,,,3,2015
The Letter,http://slgff.strangertickets.com/films/28226776/letter-the,,Ángeles Cruz,,,18,2014
Criminal Queers,http://slgff.strangertickets.com/films/28226687/criminal-queers,,"Eric Stanley, Chris Vargas",,,63,2015
The Year We Thought About Love,http://slgff.strangertickets.com/films/28226659/year-we-thought-about-love-the,,Ellen Brodsky,,,69,2014
Capitol Hill 2,http://slgff.strangertickets.com/films/28226546/capitol-hill-2,tt5349160,Wes Hurley,,,95,2015
Packed In A Trunk: The Lost Art Of Edith Lake Wilkinson,http://slgff.strangertickets.com/films/28226606/packed-in-a-trunk-the-lost-art-of-edith-lake-wilkinson,tt4093410,Michelle Boyaner,,,78,2015
To Be Destroyed,http://slgff.strangertickets.com/films/28226834/to-be-destroyed,tt3959544,Ahmed Ateyya,,,20,2014
Addicted To Fresno,http://slgff.strangertickets.com/films/28226514/addicted-to-fresno,tt4000870,Jamie Babbit,,,85,2015
My Life Is A Dream,http://slgff.strangertickets.com/films/28226801/my-life-is-a-dream,tt4460116,Brian Benson,,,8,2015
Hermes & Aphrodite,http://slgff.strangertickets.com/films/28226747/hermes-aphrodite,,Gregor Zootzky,,,10,2013
Everlasting Love,http://slgff.strangertickets.com/films/28226562/everlasting-love,tt4077768,Marçal Forés,,,69,2014
11 Life Lessons From An Awesome Old Dyke,http://slgff.strangertickets.com/films/28226650/11-life-lessons-from-an-awesome-old-dyke,tt4458970,Allison Khoury,,,9,2015
"My Daughter, Never More",http://slgff.strangertickets.com/films/28226795/my-daughter-never-more,,Cassandra Troyan,,,9,2015
"Porn Again, Vol. 1: Mutation Of A Transsexual",https://slgff.strangertickets.com/films/28226839/porn-again-vol-1-mutation-of-a-transsexual,,Sofia Moreno,,,7,2012
Pipe Dream,http://slgff.strangertickets.com/films/28226825/pipe-dream,tt3756812,Yudho Aditya,,,15,2015
Upstairs Inferno,http://slgff.strangertickets.com/films/28226602/upstairs-inferno,tt3088882,Robert L. Camina,,,96,2015
The Girl Bunnies. Rocketship,http://slgff.strangertickets.com/films/28226725/girl-bunnies-the-rocketship,,Françoise Doherty,,,9,2015
Liz In September,http://slgff.strangertickets.com/films/28226589/liz-in-september,tt2325833,Fina Torres,,,100,2014
When Mom Visits,http://slgff.strangertickets.com/films/28226855/when-mom-visits,tt3551876,Chiung-wen Chang,,,19,2015
