Entity,Url,Director,Year,Alias,IMDB_OLD,IMDB URL,genre,Runtime
Golden,http://slgff.strangertickets.com/films/28226723/golden,Kai Stänicke,2015,,,,,3
The Letter,http://slgff.strangertickets.com/films/28226776/letter-the,Ángeles Cruz,2014,,,,,18
Criminal Queers,http://slgff.strangertickets.com/films/28226687/criminal-queers,"Eric Stanley, Chris Vargas",2015,,,,,63
The Year We Thought About Love,http://slgff.strangertickets.com/films/28226659/year-we-thought-about-love-the,Ellen Brodsky,2014,,,tt4065250,,69
Capitol Hill 2,http://slgff.strangertickets.com/films/28226546/capitol-hill-2,Wes Hurley,2015,,tt5349160,tt5349160,,95
Packed In A Trunk: The Lost Art Of Edith Lake Wilkinson,http://slgff.strangertickets.com/films/28226606/packed-in-a-trunk-the-lost-art-of-edith-lake-wilkinson,Michelle Boyaner,2015,,tt4093410,tt4093410,,78
To Be Destroyed,http://slgff.strangertickets.com/films/28226834/to-be-destroyed,Ahmed Ateyya,2014,,tt3959544,tt3959544,,20
Addicted To Fresno,http://slgff.strangertickets.com/films/28226514/addicted-to-fresno,Jamie Babbit,2015,,tt4000870,tt4000870,,85
My Life Is A Dream,http://slgff.strangertickets.com/films/28226801/my-life-is-a-dream,Brian Benson,2015,,tt4460116,tt4460116,,8
Hermes & Aphrodite,http://slgff.strangertickets.com/films/28226747/hermes-aphrodite,Gregor Zootzky,2013,,,,,10
Everlasting Love,http://slgff.strangertickets.com/films/28226562/everlasting-love,Marçal Forés,2014,,tt4077768,,,69
11 Life Lessons From An Awesome Old Dyke,http://slgff.strangertickets.com/films/28226650/11-life-lessons-from-an-awesome-old-dyke,Allison Khoury,2015,,tt4458970,tt4458970,,9
"My Daughter, Never More",http://slgff.strangertickets.com/films/28226795/my-daughter-never-more,Cassandra Troyan,2015,,,,,9
"Porn Again, Vol. 1: Mutation Of A Transsexual",https://slgff.strangertickets.com/films/28226839/porn-again-vol-1-mutation-of-a-transsexual,Sofia Moreno,2012,,,,,7
Pipe Dream,http://slgff.strangertickets.com/films/28226825/pipe-dream,Yudho Aditya,2015,,tt3756812,,,15
Upstairs Inferno,http://slgff.strangertickets.com/films/28226602/upstairs-inferno,Robert L. Camina,2015,,tt3088882,tt3088882,,96
The Girl Bunnies. Rocketship,http://slgff.strangertickets.com/films/28226725/girl-bunnies-the-rocketship,Françoise Doherty,2015,,,,,9
Liz In September,http://slgff.strangertickets.com/films/28226589/liz-in-september,Fina Torres,2014,,tt2325833,tt2325833,,100
When Mom Visits,http://slgff.strangertickets.com/films/28226855/when-mom-visits,Chiung-wen Chang,2015,,tt3551876,tt3551876,,19
"Margarita, With A Straw",http://slgff.strangertickets.com/films/28226577/margarita-with-a-straw,Shonali Bose,2014,,tt2929690,,,100
Chance,http://slgff.strangertickets.com/films/28226703/chance,Jake Graf,2015,,tt4070722,,,16
We Came To Sweat: The Legend Of Starlite,http://slgff.strangertickets.com/films/28226618/we-came-to-sweat-the-legend-of-starlite,"Kate Kunath, Sasha Wortzel",2014,,tt3393510,tt3393510,,73
The Royal Road,http://slgff.strangertickets.com/films/28226588/royal-road-the,Jenni Olson,2015,,tt3062620,tt3062620,,65
Carpe Jugular,http://slgff.strangertickets.com/films/28226715/carpe-jugular,Kai Stänicke,2014,,,,,6
Beat,http://slgff.strangertickets.com/films/28226660/beat,Tricia Hagoriles,2015,,tt3714864,,,15
Sebastian,http://slgff.strangertickets.com/films/28226563/sebastian,Carlos Ciurlizza,2014,,tt3515652,,,108
Dressing Queer,http://slgff.strangertickets.com/films/28226692/dressing-queer,"Rob Eagle, Anne-Marie Lucas",2015,,,,,12
From This Day Forward,http://slgff.strangertickets.com/films/28226539/from-this-day-forward,Sharon Shattuck,2015,,tt4074296,,,79
The Dancer And The Crow,http://slgff.strangertickets.com/films/28226721/dancer-the-crow-the,Iris Moore,2014,,,,,5
Damn Girl,http://slgff.strangertickets.com/films/28226704/damn-girl,Kira Richads Hansen,2013,,,,,13
Out There,http://slgff.strangertickets.com/films/28226798/out-there,Hanna Brustad,2014,,,,,4
That's Not Us,http://slgff.strangertickets.com/films/28226615/thats-not-us,William Sullivan,2015,,tt4480568,tt4480568,,98
"Forever, Ally",http://slgff.strangertickets.com/films/28226768/forever-ally,Iyabo Boyd,2015,,tt4513026,tt4513026,,11
Gayby Baby,http://slgff.strangertickets.com/films/28226531/gayby-baby,Maya Newell,2015,,tt3898028,tt3898028,,85
The First Session,https://slgff.strangertickets.com/films/28226749/first-session-the,Ryan Logan,2015,,tt4367124,tt4367124,,6
L'assassins,http://slgff.strangertickets.com/films/28226789/lassassins,Tyler Jensen,2015,,tt4496978,tt4496978,,13
The Celluloid Closet,http://slgff.strangertickets.com/films/28226529/celluloid-closet-the,"Robert Epstein, Jeffrey Friedman",1995,,tt0112651,,,101
Peter De Rome: Grandfather Of Gay Porn,http://slgff.strangertickets.com/films/28226609/peter-de-rome-grandfather-of-gay-porn,Ethan Reid,2014,,tt3801878,tt3801878,,97
"Kiss Me, Kill Me",http://slgff.strangertickets.com/films/28226556/kiss-me-kill-me,Casper Andreas,2015,,,,,100
Fourth Man Out,http://slgff.strangertickets.com/films/28226553/fourth-man-out,Andrew Nackman,2015,,,,,86
Supermum,http://slgff.strangertickets.com/films/28226841/supermum,Lisa Gifford,2015,,tt4711700,tt4711700,,3
Henry Gamble's Birthday Party,http://slgff.strangertickets.com/films/28226583/henry-gambles-birthday-party,Stephen Cone,2015,,tt3703836,tt3703836,,87
Elder,http://slgff.strangertickets.com/films/28226699/elder,Genéa Gaudet,2015,,tt2786526,,,15
Desert Migration,http://slgff.strangertickets.com/films/28226535/desert-migration,Daniel F. Cardone,2015,,tt3258058,tt3258058,,81
Meme Team,http://slgff.strangertickets.com/films/28226788/meme-team,"Jackie/J-Qwille Sin, Carleigh Ellwood, Quinton Mourjoun",2015,,,,,5
Day Drunk Gays: Beardist,http://slgff.strangertickets.com/films/28226720/day-drunk-gays-beardist,Benjamin Simons,2014,,,,,4
Sylvia O'stayformore's Night With Jacqueline,http://slgff.strangertickets.com/films/28226613/sylvia-ostayformores-night-with-jacqueline,"Sylvia O'Stayformore, Michael Anderson, Shane Wahlund",2015,,,,,120
The Pearl Of Africa,http://slgff.strangertickets.com/films/28226823/pearl-of-africa-the,Jonny von Wallström,2015,,tt5128790,,,30
Intrinsic Moral Evil,http://slgff.strangertickets.com/films/28226750/intrinsic-moral-evil,Harm Weistra,2013,,tt3305384,tt3305384,,11
