note	team	type	player	type_cd	team_id	player_id	name_sort	from_team	trans_date	orig_asset	final_asset	from_team_id	resolution_cd	trans_date_cd	transaction_id	conditional_sw	effective_date	orig_asset_type	resolution_date	final_asset_type	name_display_last_first	name_display_first_last
Houston Astros invited non-roster SS Alex Bregman to spring training.	Houston Astros	Assigned	Alex Bregman	ASG	117	608324	BREGMAN, ALEX		2016-01-01T00:00:00	Player			FIN	D	252931		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Bregman, Alex	Alex Bregman
Houston Astros invited non-roster RHP Brady Rodgers to spring training.	Houston Astros	Assigned	Brady Rodgers	ASG	117	572086	RODGERS, BRADY		2016-01-01T00:00:00	Player			FIN	D	252945		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Rodgers, Brady	Brady Rodgers
Houston Astros invited non-roster RHP James Hoyt to spring training.	Houston Astros	Assigned	James Hoyt	ASG	117	624586	HOYT, JAMES		2016-01-01T00:00:00	Player			FIN	D	252937		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Hoyt, James	James Hoyt
Houston Astros invited non-roster C Roberto Pena to spring training.	Houston Astros	Assigned	Roberto Pena	ASG	117	592629	PENA, ROBERTO		2016-01-01T00:00:00	Player			FIN	D	252943		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Pena, Roberto	Roberto Pena
Houston Astros invited non-roster 3B Colin Moran to spring training.	Houston Astros	Assigned	Colin Moran	ASG	117	592567	MORAN, COLIN		2016-01-01T00:00:00	Player			FIN	D	252942		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Moran, Colin	Colin Moran
Houston Astros invited non-roster RHP Jake Buchanan to spring training.	Houston Astros	Assigned	Jake Buchanan	ASG	117	594772	BUCHANAN, JAKE		2016-01-01T00:00:00	Player			FIN	D	252932		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Buchanan, Jake	Jake Buchanan
Houston Astros invited non-roster 3B J.D. Davis to spring training.	Houston Astros	Assigned	J.D. Davis	ASG	117	605204	DAVIS, J.D.		2016-01-01T00:00:00	Player			FIN	D	252933		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Davis, J.D.	J.D. Davis
Houston Astros invited non-roster LF Derek Fisher to spring training.	Houston Astros	Assigned	Derek Fisher	ASG	117	605233	FISHER, DEREK		2016-01-01T00:00:00	Player			FIN	D	252935		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Fisher, Derek	Derek Fisher
Houston Astros invited non-roster 2B Joe Sclafani to spring training.	Houston Astros	Assigned	Joe Sclafani	ASG	117	623159	SCLAFANI, JOE		2016-01-01T00:00:00	Player			FIN	D	252946		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Sclafani, Joe	Joe Sclafani
Houston Astros invited non-roster RF Jon Kemmer to spring training.	Houston Astros	Assigned	Jon Kemmer	ASG	117	643392	KEMMER, JON		2016-01-01T00:00:00	Player			FIN	D	252940		2016-01-01T00:00:00	PL	2016-01-01T00:00:00		Kemmer, Jon	Jon Kemmer
