task_type	task_name	url	description	tag	external_id
/common/topic	Pittsburgh Pirates signed free agent C Ed Easley to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Ed Easley # Team Name: Pittsburgh Pirates # Type: Signed as Free Agent # Transaction: Pittsburgh Pirates signed free agent C Ed Easley to a minor league contract and invited him to spring training. # Transaction date: 2016-01-01	SPLGROSTMlb	252975#Ed Easley#Pittsburgh Pirates#Signed as Free Agent
/common/topic	Chicago Cubs signed free agent 1B Jesus Guzman to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Jesus Guzman # Team Name: Chicago Cubs # Type: Signed as Free Agent # Transaction: Chicago Cubs signed free agent 1B Jesus Guzman to a minor league contract and invited him to spring training. # Transaction date: 2016-01-01	SPLGROSTMlb	253172#Jesus Guzman#Chicago Cubs#Signed as Free Agent
/common/topic	Houston Astros signed free agent RHP Cesar Valdez to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Cesar Valdez # Team Name: Houston Astros # Type: Signed as Free Agent # Transaction: Houston Astros signed free agent RHP Cesar Valdez to a minor league contract and invited him to spring training. # Transaction date: 2016-01-01	SPLGROSTMlb	252930#Cesar Valdez#Houston Astros#Signed as Free Agent
/common/topic	Houston Astros signed free agent LF Eury Perez to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Eury Perez # Team Name: Houston Astros # Type: Signed as Free Agent # Transaction: Houston Astros signed free agent LF Eury Perez to a minor league contract and invited him to spring training. # Transaction date: 2016-01-01	SPLGROSTMlb	252929#Eury Perez#Houston Astros#Signed as Free Agent
/common/topic	San Diego Padres signed free agent 1B Adam Rosales to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Adam Rosales # Team Name: San Diego Padres # Type: Signed as Free Agent # Transaction: San Diego Padres signed free agent 1B Adam Rosales to a minor league contract and invited him to spring training. # Transaction date: 2016-01-01	SPLGROSTMlb	253236#Adam Rosales#San Diego Padres#Signed as Free Agent
/common/topic	Baltimore Orioles signed free agent SS Paul Janish to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Paul Janish # Team Name: Baltimore Orioles # Type: Signed as Free Agent # Transaction: Baltimore Orioles signed free agent SS Paul Janish to a minor league contract and invited him to spring training. # Transaction date: 2016-01-01	SPLGROSTMlb	253166#Paul Janish#Baltimore Orioles#Signed as Free Agent
/common/topic	Chicago Cubs signed free agent RHP Cole Brocker to a minor league contract.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Cole Brocker # Team Name: Chicago Cubs # Type: Signed as Free Agent # Transaction: Chicago Cubs signed free agent RHP Cole Brocker to a minor league contract. # Transaction date: 2016-01-02	SPLGROSTMlb	253170#Cole Brocker#Chicago Cubs#Signed as Free Agent
/common/topic	Pittsburgh Pirates signed free agent SS Juan Diaz to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Juan Diaz # Team Name: Pittsburgh Pirates # Type: Signed as Free Agent # Transaction: Pittsburgh Pirates signed free agent SS Juan Diaz to a minor league contract and invited him to spring training. # Transaction date: 2016-01-02	SPLGROSTMlb	252974#Juan Diaz#Pittsburgh Pirates#Signed as Free Agent
/common/topic	Pittsburgh Pirates signed free agent LHP Jim Fuller to a minor league contract and invited him to spring training.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Jim Fuller # Team Name: Pittsburgh Pirates # Type: Signed as Free Agent # Transaction: Pittsburgh Pirates signed free agent LHP Jim Fuller to a minor league contract and invited him to spring training. # Transaction date: 2016-01-03	SPLGROSTMlb	252977#Jim Fuller#Pittsburgh Pirates#Signed as Free Agent
/common/topic	New York Yankees signed free agent RHP Tyler Jones to a minor league contract.	http://www.mlb.com/mlb/transactions/#month=1&year=2016	*Find or create each transaction and curate as per guidelines* Player Name: Tyler Jones # Team Name: New York Yankees # Type: Signed as Free Agent # Transaction: New York Yankees signed free agent RHP Tyler Jones to a minor league contract. # Transaction date: 2016-01-03	SPLGROSTMlb	253217#Tyler Jones#New York Yankees#Signed as Free Agent
