task_type	task_name	url	description	tag	external_id
/common/topic	Activated F Patrik Elias from injured reserve.	http://espn.go.com/nhl/transactions/_/date/20160405#Activated_F_Patrik_Elias_from_injured_reserve.	*Find or create each transaction and curate as per guidelines* Transaction: Activated F Patrik Elias from injured reserve. # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Activated_F_Patrik_Elias_from_injured_reserve.	SPLGROUSNhl	transactions/_/date/20160405#Activated_F_Patrik_Elias_from_injured_reserve.
/common/topic	Assigned D Jesse Graham from Bridgeport (AHL) to Missouri (ECHL).	http://espn.go.com/nhl/transactions/_/date/20160405#Assigned_D_Jesse_Graham_from_Bridgeport_(AHL)_to_Missouri_(ECHL).	*Find or create each transaction and curate as per guidelines* Transaction: Assigned D Jesse Graham from Bridgeport (AHL) to Missouri (ECHL). # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Assigned_D_Jesse_Graham_from_Bridgeport_(AHL)_to_Missouri_(ECHL).	SPLGROSTNhl	transactions/_/date/20160405#Assigned_D_Jesse_Graham_from_Bridgeport_(AHL)_to_Missouri_(ECHL).
/common/topic	Assigned G Niklas Lundstrom from Bakersfield (AHL) to Norfolk (ECHL).	http://espn.go.com/nhl/transactions/_/date/20160405#Assigned_G_Niklas_Lundstrom_from_Bakersfield_(AHL)_to_Norfolk_(ECHL).	*Find or create each transaction and curate as per guidelines* Transaction: Assigned G Niklas Lundstrom from Bakersfield (AHL) to Norfolk (ECHL). # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Assigned_G_Niklas_Lundstrom_from_Bakersfield_(AHL)_to_Norfolk_(ECHL).	SPLGROSTNhl	transactions/_/date/20160405#Assigned_G_Niklas_Lundstrom_from_Bakersfield_(AHL)_to_Norfolk_(ECHL).
/common/topic	Reassigned D Stefan Elliott to Milwaukee (AHL).	http://espn.go.com/nhl/transactions/_/date/20160405#Reassigned_D_Stefan_Elliott_to_Milwaukee_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Reassigned D Stefan Elliott to Milwaukee (AHL). # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Reassigned_D_Stefan_Elliott_to_Milwaukee_(AHL).	SPLGROSTNhl	transactions/_/date/20160405#Reassigned_D_Stefan_Elliott_to_Milwaukee_(AHL).
/common/topic	Recalled D Brady Skjei from Hartford (AHL) and G Mackenzie Skapski from Greenville (ECHL) to Hartford.	http://espn.go.com/nhl/transactions/_/date/20160405#Recalled_D_Brady_Skjei_from_Hartford_(AHL)_and_G_Mackenzie_Skapski_from_Greenville_(ECHL)_to_Hartford.	*Find or create each transaction and curate as per guidelines* Transaction: Recalled D Brady Skjei from Hartford (AHL) and G Mackenzie Skapski from Greenville (ECHL) to Hartford. # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Recalled_D_Brady_Skjei_from_Hartford_(AHL)_and_G_Mackenzie_Skapski_from_Greenville_(ECHL)_to_Hartford.	SPLGROSTNhl	transactions/_/date/20160405#Recalled_D_Brady_Skjei_from_Hartford_(AHL)_and_G_Mackenzie_Skapski_from_Greenville_(ECHL)_to_Hartford.
/common/topic	Recalled F Justin Bailey from Rochester (AHL).	http://espn.go.com/nhl/transactions/_/date/20160405#Recalled_F_Justin_Bailey_from_Rochester_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Justin Bailey from Rochester (AHL). # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Recalled_F_Justin_Bailey_from_Rochester_(AHL).	SPLGROSTNhl	transactions/_/date/20160405#Recalled_F_Justin_Bailey_from_Rochester_(AHL).
/common/topic	Recalled F Nikita Jevpalovs from Allen (ECHL) to San Jose (AHL).	http://espn.go.com/nhl/transactions/_/date/20160405#Recalled_F_Nikita_Jevpalovs_from_Allen_(ECHL)_to_San_Jose_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Nikita Jevpalovs from Allen (ECHL) to San Jose (AHL). # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Recalled_F_Nikita_Jevpalovs_from_Allen_(ECHL)_to_San_Jose_(AHL).	SPLGROSTNhl	transactions/_/date/20160405#Recalled_F_Nikita_Jevpalovs_from_Allen_(ECHL)_to_San_Jose_(AHL).
/common/topic	Signed G Adin Hill to a three-year, entry-level contract.	http://espn.go.com/nhl/transactions/_/date/20160405#Signed_G_Adin_Hill_to_a_three-year,_entry-level_contract.	*Find or create each transaction and curate as per guidelines* Transaction: Signed G Adin Hill to a three-year, entry-level contract. # Date: 2016-04-05 # URL: http://espn.go.com/nhl/transactions/_/date/20160405#Signed_G_Adin_Hill_to_a_three-year,_entry-level_contract.	SPLGROSTNhl	transactions/_/date/20160405#Signed_G_Adin_Hill_to_a_three-year,_entry-level_contract.
/common/topic	Reassigned F Sergey Tolchinsky to Charlotte (AHL).	http://espn.go.com/nhl/transactions/_/date/20160406#Reassigned_F_Sergey_Tolchinsky_to_Charlotte_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Reassigned F Sergey Tolchinsky to Charlotte (AHL). # Date: 2016-04-06 # URL: http://espn.go.com/nhl/transactions/_/date/20160406#Reassigned_F_Sergey_Tolchinsky_to_Charlotte_(AHL).	SPLGROSTNhl	transactions/_/date/20160406#Reassigned_F_Sergey_Tolchinsky_to_Charlotte_(AHL).
/common/topic	Recalled F Bryan Bickell from Rockford (AHL). Agreed to terms with F Tyler Motte on a three-year contract.	http://espn.go.com/nhl/transactions/_/date/20160406#Recalled_F_Bryan_Bickell_from_Rockford_(AHL)._Agreed_to_terms_with_F_Tyler_Motte_on_a_three-year_contract.	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Bryan Bickell from Rockford (AHL). Agreed to terms with F Tyler Motte on a three-year contract. # Date: 2016-04-06 # URL: http://espn.go.com/nhl/transactions/_/date/20160406#Recalled_F_Bryan_Bickell_from_Rockford_(AHL)._Agreed_to_terms_with_F_Tyler_Motte_on_a_three-year_contract.	SPLGROSTNhl	transactions/_/date/20160406#Recalled_F_Bryan_Bickell_from_Rockford_(AHL)._Agreed_to_terms_with_F_Tyler_Motte_on_a_three-year_contract.
/common/topic	Recalled F Curtis McKenzie from Texas (AHL).	http://espn.go.com/nhl/transactions/_/date/20160406#Recalled_F_Curtis_McKenzie_from_Texas_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled F Curtis McKenzie from Texas (AHL). # Date: 2016-04-06 # URL: http://espn.go.com/nhl/transactions/_/date/20160406#Recalled_F_Curtis_McKenzie_from_Texas_(AHL).	SPLGROSTNhl	transactions/_/date/20160406#Recalled_F_Curtis_McKenzie_from_Texas_(AHL).
/common/topic	Recalled G Marek Langhamer from Springfield (AHL).	http://espn.go.com/nhl/transactions/_/date/20160406#Recalled_G_Marek_Langhamer_from_Springfield_(AHL).	*Find or create each transaction and curate as per guidelines* Transaction: Recalled G Marek Langhamer from Springfield (AHL). # Date: 2016-04-06 # URL: http://espn.go.com/nhl/transactions/_/date/20160406#Recalled_G_Marek_Langhamer_from_Springfield_(AHL).	SPLGROSTNhl	transactions/_/date/20160406#Recalled_G_Marek_Langhamer_from_Springfield_(AHL).
