Task_Type	Description	external_id	note	player	type
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: Oakland Athletics # Type: Trade # Transaction: Oakland Athletics traded RHP Arnold Leon to Toronto Blue Jays for cash. # Transaction date: 2016-01-05T00:00:00	252990##Oakland Athletics#Trade	Oakland Athletics traded RHP Arnold Leon to Toronto Blue Jays for cash.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: Toronto Blue Jays # Type: Trade # Transaction: Toronto Blue Jays traded Player To Be Named Later and LF Ben Revere to Washington Nationals for cash and RHP Drew Storen. # Transaction date: 2016-01-08T00:00:00	253126##Toronto Blue Jays#Trade	Toronto Blue Jays traded Player To Be Named Later and LF Ben Revere to Washington Nationals for cash and RHP Drew Storen.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: Washington Nationals # Type: Trade # Transaction: Toronto Blue Jays traded Player To Be Named Later and LF Ben Revere to Washington Nationals for cash and RHP Drew Storen. # Transaction date: 2016-01-08T00:00:00	253126##Washington Nationals#Trade	Toronto Blue Jays traded Player To Be Named Later and LF Ben Revere to Washington Nationals for cash and RHP Drew Storen.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: Cleveland Indians # Type: Trade # Transaction: Cleveland Indians traded RHP Kirby Yates to New York Yankees for cash. # Transaction date: 2016-01-08T00:00:00	253114##Cleveland Indians#Trade	Cleveland Indians traded RHP Kirby Yates to New York Yankees for cash.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: San Francisco Giants # Type: Trade # Transaction: San Francisco Giants traded RHP Cody Hall to Arizona Diamondbacks for Player To Be Named Later. # Transaction date: 2016-01-13T00:00:00	253320##San Francisco Giants#Trade	San Francisco Giants traded RHP Cody Hall to Arizona Diamondbacks for Player To Be Named Later.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: Los Angeles Angels # Type: Trade # Transaction: Los Angeles Angels traded LF Efren Navarro to Baltimore Orioles for cash. # Transaction date: 2016-01-26T00:00:00	254075##Los Angeles Angels#Trade	Los Angeles Angels traded LF Efren Navarro to Baltimore Orioles for cash.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: Milwaukee Brewers # Type: Trade # Transaction: Milwaukee Brewers traded SS Jean Segura and RHP Tyler Wagner to Arizona Diamondbacks for RHP Chase Anderson, 3B Aaron Hill, SS Isan Diaz and cash. # Transaction date: 2016-01-30T00:00:00	254334##Milwaukee Brewers#Trade	Milwaukee Brewers traded SS Jean Segura and RHP Tyler Wagner to Arizona Diamondbacks for RHP Chase Anderson, 3B Aaron Hill, SS Isan Diaz and cash.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: New York Mets # Type: Trade # Transaction: New York Mets traded CF Darrell Ceciliani to Toronto Blue Jays for Player To Be Named Later. # Transaction date: 2016-02-02T00:00:00	254442##New York Mets#Trade	New York Mets traded CF Darrell Ceciliani to Toronto Blue Jays for Player To Be Named Later.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name:  # Team Name: Los Angeles Angels # Type: Trade # Transaction: Los Angeles Angels traded 3B Taylor Featherston to Philadelphia Phillies for Future Considerations. # Transaction date: 2016-02-10T00:00:00	254737##Los Angeles Angels#Trade	Los Angeles Angels traded 3B Taylor Featherston to Philadelphia Phillies for Future Considerations.		Trade
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: ABC # Team Name: Los Angeles Angels # Type: Trade # Transaction: Los Angeles Angels traded 3B Taylor Featherston to Philadelphia Phillies for Future Considerations. # Transaction date: 2016-02-10T00:00:00	254737#ABC#Los Angeles Angels#Trade	Los Angeles Angels traded 3B Taylor Featherston to Philadelphia Phillies for Future Considerations.	ABC	Trade
